<,rank,date,main_artist,featured_artist_1,featured_artist_2,featured_artist_3,song,semanas_en_rank,peak_rank,artist_full,popularity,duration_ms,explicit,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cantidad_de_features
1249349,14,08/05/2021,Lil Tjay,6LACK,,,Calling My Phone,22,3,Lil Tjay & 6LACK,50,205458,si,12/02/2021,0.907,0.393,-7.636,0.0539,0.451,1.35E-06,0.135,0.202,104.949,1
1249349,14,08/05/2021,Lil Tjay,6LACK,,,Calling My Phone,22,3,Lil Tjay & 6LACK,24,205458,si,12/02/2021,0.908,0.388,-7.659,0.0553,0.443,2.26E-06,0.135,0.197,104.944,1
1211663,19,08/05/2021,Pop Smoke,,,,What You Know Bout Love,42,9,Pop Smoke,91,160000,si,03/07/2020,0.709,0.548,-8.493,0.353,0.65,1.59E-06,0.133,0.543,83.995,1
1211663,19,08/05/2021,Pop Smoke,,,,What You Know Bout Love,42,9,Pop Smoke,22,160000,si,03/07/2020,0.584,0.547,-8.502,0.382,0.655,1.64E-06,0.134,0.56,83.917,1
1211663,19,08/05/2021,Pop Smoke,,,,What You Know Bout Love,42,9,Pop Smoke,16,160000,si,03/07/2020,0.584,0.547,-8.502,0.382,0.655,1.64E-06,0.134,0.56,83.917,1
1211663,19,08/05/2021,Pop Smoke,,,,What You Know Bout Love,42,9,Pop Smoke,6,160000,si,03/07/2020,0.584,0.547,-8.502,0.382,0.655,1.64E-06,0.134,0.56,83.917,1
1211663,19,08/05/2021,Pop Smoke,,,,What You Know Bout Love,42,9,Pop Smoke,6,160000,si,03/07/2020,0.584,0.547,-8.502,0.382,0.655,1.64E-06,0.134,0.56,83.917,1
1211663,19,08/05/2021,Pop Smoke,,,,What You Know Bout Love,42,9,Pop Smoke,0,160000,si,03/07/2020,0.584,0.547,-8.502,0.382,0.655,1.64E-06,0.134,0.56,83.917,1
1211663,19,08/05/2021,Pop Smoke,,,,What You Know Bout Love,42,9,Pop Smoke,25,160000,si,03/07/2020,0.584,0.547,-8.502,0.382,0.655,1.64E-06,0.134,0.56,83.917,1
1211663,19,08/05/2021,Pop Smoke,,,,What You Know Bout Love,42,9,Pop Smoke,24,160000,si,03/07/2020,0.584,0.547,-8.502,0.382,0.655,1.64E-06,0.134,0.56,83.917,1
1211663,19,08/05/2021,Pop Smoke,,,,What You Know Bout Love,42,9,Pop Smoke,19,160000,si,03/07/2020,0.584,0.547,-8.502,0.382,0.655,1.64E-06,0.134,0.56,83.917,1
