<,rank,date,main_artist,featured_artist_1,featured_artist_2,featured_artist_3,song,semanas_en_rank,peak_rank,artist_full,popularity,duration_ms,explicit,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cantidad_de_features
1227717,7,01/05/2021,Masked Wolf,,,,Astronaut In The Ocean,28,6,Masked Wolf,98,132780,no,07/06/2019,0.778,0.695,-6.865,0.0913,0.175,0,0.15,0.472,149.996,1
1227717,7,01/05/2021,Masked Wolf,,,,Astronaut In The Ocean,28,6,Masked Wolf,76,132780,no,07/06/2019,0.778,0.695,-6.865,0.0913,0.175,0,0.15,0.472,149.996,1
1257647,8,01/05/2021,Doja Cat,SZA,,,Kiss Me More,25,3,Doja Cat & SZA,,,si,09/04/2021,,,,,,,,,,1
1248054,9,01/05/2021,Cardi B,,,,Up,20,1,Cardi B,92,156945,si,05/02/2021,0.868,0.795,-6.044,0.269,0.0012,0.0193,0.0461,0.819,166,1
1248054,9,01/05/2021,Cardi B,,,,Up,20,1,Cardi B,84,156945,si,05/02/2021,0.868,0.795,-6.044,0.269,0.0012,0.0193,0.0461,0.819,166,1
1248054,9,01/05/2021,Cardi B,,,,Up,20,1,Cardi B,26,156945,si,05/02/2021,0.868,0.795,-6.044,0.269,0.0012,0.0193,0.0461,0.819,166,1
1248054,9,01/05/2021,Cardi B,,,,Up,20,1,Cardi B,0,156945,si,05/02/2021,0.868,0.795,-6.044,0.269,0.0012,0.0193,0.0461,0.819,166,1
1248054,9,01/05/2021,Cardi B,,,,Up,20,1,Cardi B,0,156945,si,05/02/2021,0.868,0.795,-6.044,0.269,0.0012,0.0193,0.0461,0.819,166,1
1244917,10,01/05/2021,Olivia Rodrigo,,,,Drivers License,28,1,Olivia Rodrigo,,,si,08/01/2021,,,,,,,,,,1
1256615,11,01/05/2021,Olivia Rodrigo,,,,Deja Vu,26,3,Olivia Rodrigo,,,no,01/04/2021,,,,,,,,,,1
1179171,13,01/05/2021,The Weeknd,,,,Blinding Lights,87,1,The Weeknd,96,200040,no,29/12/2019,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,1
1249349,16,01/05/2021,Lil Tjay,6LACK,,,Calling My Phone,22,3,Lil Tjay & 6LACK,85,205458,si,12/02/2021,0.907,0.393,-7.636,0.0539,0.451,1.35E-06,0.135,0.202,104.949,1
1249349,16,01/05/2021,Lil Tjay,6LACK,,,Calling My Phone,22,3,Lil Tjay & 6LACK,50,205458,si,12/02/2021,0.907,0.393,-7.636,0.0539,0.451,1.35E-06,0.135,0.202,104.949,1
1249349,16,01/05/2021,Lil Tjay,6LACK,,,Calling My Phone,22,3,Lil Tjay & 6LACK,24,205458,si,12/02/2021,0.908,0.388,-7.659,0.0553,0.443,2.26E-06,0.135,0.197,104.944,1
1211663,17,01/05/2021,Pop Smoke,,,,What You Know Bout Love,42,9,Pop Smoke,91,160000,si,03/07/2020,0.709,0.548,-8.493,0.353,0.65,1.59E-06,0.133,0.543,83.995,1
1211663,17,01/05/2021,Pop Smoke,,,,What You Know Bout Love,42,9,Pop Smoke,22,160000,si,03/07/2020,0.584,0.547,-8.502,0.382,0.655,1.64E-06,0.134,0.56,83.917,1
1211663,17,01/05/2021,Pop Smoke,,,,What You Know Bout Love,42,9,Pop Smoke,16,160000,si,03/07/2020,0.584,0.547,-8.502,0.382,0.655,1.64E-06,0.134,0.56,83.917,1
1211663,17,01/05/2021,Pop Smoke,,,,What You Know Bout Love,42,9,Pop Smoke,6,160000,si,03/07/2020,0.584,0.547,-8.502,0.382,0.655,1.64E-06,0.134,0.56,83.917,1
1211663,17,01/05/2021,Pop Smoke,,,,What You Know Bout Love,42,9,Pop Smoke,6,160000,si,03/07/2020,0.584,0.547,-8.502,0.382,0.655,1.64E-06,0.134,0.56,83.917,1
1211663,17,01/05/2021,Pop Smoke,,,,What You Know Bout Love,42,9,Pop Smoke,0,160000,si,03/07/2020,0.584,0.547,-8.502,0.382,0.655,1.64E-06,0.134,0.56,83.917,1
1211663,17,01/05/2021,Pop Smoke,,,,What You Know Bout Love,42,9,Pop Smoke,25,160000,si,03/07/2020,0.584,0.547,-8.502,0.382,0.655,1.64E-06,0.134,0.56,83.917,1
1211663,17,01/05/2021,Pop Smoke,,,,What You Know Bout Love,42,9,Pop Smoke,24,160000,si,03/07/2020,0.584,0.547,-8.502,0.382,0.655,1.64E-06,0.134,0.56,83.917,1
1211663,17,01/05/2021,Pop Smoke,,,,What You Know Bout Love,42,9,Pop Smoke,19,160000,si,03/07/2020,0.584,0.547,-8.502,0.382,0.655,1.64E-06,0.134,0.56,83.917,1
1211663,17,01/05/2021,Pop Smoke,,,,What You Know Bout Love,42,9,Pop Smoke,16,160000,si,03/07/2020,0.584,0.547,-8.502,0.382,0.655,1.64E-06,0.134,0.56,83.917,1
1211663,17,01/05/2021,Pop Smoke,,,,What You Know Bout Love,42,9,Pop Smoke,11,160000,si,03/07/2020,0.584,0.547,-8.502,0.382,0.655,1.64E-06,0.134,0.56,83.917,1
1211663,17,01/05/2021,Pop Smoke,,,,What You Know Bout Love,42,9,Pop Smoke,17,160000,si,03/07/2020,0.584,0.547,-8.502,0.382,0.655,1.64E-06,0.134,0.56,83.917,1
1211663,17,01/05/2021,Pop Smoke,,,,What You Know Bout Love,42,9,Pop Smoke,0,160000,si,03/07/2020,0.584,0.547,-8.502,0.382,0.655,1.64E-06,0.134,0.56,83.917,1
1215418,19,01/05/2021,24kGoldn,iann dior,,,Mood,52,1,24kGoldn & iann dior,,,no,24/07/2020,,,,,,,,,,1
1201898,24,01/05/2021,Chris Brown,Young Thug,,,Go Crazy,52,3,Chris Brown & Young Thug,85,176960,si,19/05/2020,0.755,0.578,-8.932,0.145,0.316,0,0.25,0.581,94.148,1
1233520,26,01/05/2021,Ariana Grande,,,,34+35,28,2,Ariana Grande,91,173711,si,30/10/2020,0.83,0.585,-6.476,0.094,0.237,0,0.248,0.485,109.978,1
1233520,26,01/05/2021,Ariana Grande,,,,34+35,28,2,Ariana Grande,91,173711,si,30/10/2020,0.822,0.577,-6.449,0.0693,0.264,0,0.265,0.496,110.005,1
1252289,28,01/05/2021,Drake,,,,What's Next,16,1,Drake,74,178154,no,05/03/2021,0.777,0.58,-6.928,0.0525,0.0125,0,0.161,0.0636,129.918,1
1233731,29,01/05/2021,Bad Bunny,Jhay Cortez,,,Dakiti,28,5,Bad Bunny & Jhay Cortez,,,si,30/10/2020,,,,,,,,,,1
1236045,30,01/05/2021,Billie Eilish,,,,Therefore I Am,27,2,Billie Eilish,90,174321,no,12/11/2020,0.889,0.34,-7.773,0.0697,0.218,0.13,0.055,0.716,94.009,1
1235706,32,24/04/2021,The Kid LAROI,,,,Without You,38,8,The Kid LAROI,,,no,16/12/2020,,,,,,,,,,1
1232249,33,01/05/2021,Ariana Grande,,,,Positions,29,1,Ariana Grande,,,si,30/10/2020,,,,,,,,,,1
1232532,35,01/05/2021,Luke Combs,,,,Forever After All,45,2,Luke Combs,82,232533,no,23/10/2020,0.487,0.65,-5.195,0.0253,0.191,0,0.0933,0.456,151.964,1
1252331,36,01/05/2021,Drake,Lil Baby,,,Wants And Needs,21,2,Drake & Lil Baby,,,si,06/03/2021,,,,,,,,,,1
1211270,40,01/05/2021,Pop Smoke,Lil Baby,DaBaby,,For The Night,43,6,Pop Smoke & Lil Baby & DaBaby,14,190476,si,03/07/2020,0.823,0.586,-6.606,0.2,0.114,0,0.193,0.347,125.971,2
1211270,40,01/05/2021,Pop Smoke,Lil Baby,DaBaby,,For The Night,43,6,Pop Smoke & Lil Baby & DaBaby,7,190476,si,03/07/2020,0.823,0.586,-6.606,0.2,0.114,0,0.193,0.347,125.971,2
1211270,40,01/05/2021,Pop Smoke,Lil Baby,DaBaby,,For The Night,43,6,Pop Smoke & Lil Baby & DaBaby,0,190476,si,03/07/2020,0.823,0.586,-6.606,0.2,0.114,0,0.193,0.347,125.971,2
1243719,44,01/05/2021,SZA,,,,Good Days,20,9,SZA,93,279204,si,25/12/2020,0.436,0.655,-8.37,0.0583,0.499,8.10E-06,0.688,0.412,121.002,1
1240694,60,01/05/2021,Taylor Swift,,,,Willow,20,1,Taylor Swift,,,no,11/12/2020,,,,,,,,,,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,90,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,85,190779,no,01/01/2021,0.685,0.521,-8.285,0.0345,0.185,3.59E-06,0.111,0.578,115.885,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,21,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,10,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,6,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,0,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,0,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,21,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,20,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,13,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,9,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,10,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,10,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,0,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,0,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,0,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,3,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,1,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,1,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,2,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,1,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,1,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,0,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,1,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,0,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,0,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
